World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.4: Outbound tourism - Total expenditure - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
520;Nauru;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
524;Nepal;167;155;141;107;116;109;128;108;119;205;221;261;402;545;572;528;420;562;598;680;669;634;889
528;Netherlands;13.151;13.709;12.555;13.474;13.468;13.649;13.061;14.201;15.887;16.937;..;..;..;..;..;..;..;20.094;21.009;23.655;20.234;20.461;22.044
540;New Caledonia;..;..;..;..;..;..;..;..;..;..;..;..;..;354;330;343;356;336;333;328;253;252;..
554;New Zealand;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
558;Nicaragua;56;79;86;94;114;126;128;125;139;154;162;224;238;265;256;225;240;241;277;286;273;310;364
562;Niger;26;59;50;39;35;32;33;29;39;42;42;42;48;98;84;95;57;132;81;129;140;111;..
566;Nigeria;938;1.318;1.840;1.589;640;610;858;910;2.076;..;501;3.536;6.664;11.009;6.236;8.348;9.533;9.240;9.152;9.123;9.255;4.521;8.181
570;Niue;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
580;Northern Mariana Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
578;Norway;4.481;4.759;4.756;5.069;5.185;4.893;4.718;5.610;7.089;8.894;10.400;11.273;13.256;15.118;13.221;14.658;16.958;18.131;20.116;20.166;16.485;16.656;17.473
512;Oman;..;..;..;542;583;629;703;702;804;823;863;894;952;1.197;1.295;1.243;1.493;1.644;1.824;2.081;2.208;2.643;2.916
586;Pakistan;654;1.018;591;565;447;574;555;491;1.163;1.612;1.753;2.029;2.075;2.163;1.098;1.370;1.857;1.851;1.638;2.209;2.642;2.962;3.223
585;Palau;..;..;..;..;..;12;14;18;16;18;18;17;17;19;16;15;17;19;19;17;22;24;..
591;Panama;181;210;243;245;259;241;227;252;267;294;388;403;457;560;503;575;679;591;1.078;1.147;1.272;1.129;1.128
598;Papua New Guinea;..;..;..;..;..;..;..;..;52;72;56;43;81;75;132;138;186;203;214;168;135;126;..
